ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
1	NA	F	NA	NA	42327	23	NA	NA	2015	2015	NA	1.7572388	0.543552915	0.624301629
2	NA	M	NA	2013	42312	4	1	1	2014	2014	Adults	2.484209144	0.417326575	0.693672439
103	NA	F	NA	NA	42418	68	NA	NA	1993	1993	NA	1.501053101	0.37495778	0.28072799
106	978	F	NA	NA	42384	41	NA	NA	1991	1991	NA	2.455166844	0.502836186	0.73218358
111	NA	F	NA	NA	42411	63	NA	NA	1990	1990	NA	0.836122895	0.824933859	0.356378827
111	NA	F	NA	NA	42384	41	NA	NA	1991	1991	NA	1.409506451	0.830008942	0.438010882
112	111	F	NA	NA	42384	41	NA	NA	1991	1991	NA	0.498554762	0.613886554	0.546547206
112	111	F	NA	NA	42305	12	NA	NA	1992	1992	NA	0.576394524	0.732282504	0.384839158
112	111	F	NA	NA	42314	17	NA	NA	1995	1995	NA	0.681376571	0.681034763	0.35456822
112	111	F	NA	NA	42403	55	NA	NA	1999	1999	NA	0.707090848	0.583584001	0.202434982
113	NA	F	NA	NA	42384	41	NA	NA	1991	1991	NA	2.051957295	0.870384043	0.708888216
113	NA	F	NA	NA	42305	12	NA	NA	1992	1992	NA	2.210527909	0.646696337	0.531316225
114	NA	F	NA	NA	42384	41	NA	NA	1991	1991	NA	1.357964021	0.129718485	0.322222724
114	NA	F	NA	NA	42418	68	NA	NA	1993	1993	NA	1.301185577	0.160358952	0.457143574
114	NA	F	NA	NA	42396	49	NA	NA	1994	1994	NA	1.355949551	0.172798528	0.38093888
117	NA	F	NA	NA	42384	41	NA	NA	1991	1991	NA	0.533589416	1.321736423	0.809026229
117	NA	F	NA	NA	42305	12	NA	NA	1992	1992	NA	0.511641697	1.246635951	0.660788458
119	NA	M	NA	NA	42418	68	NA	NA	1993	1993	NA	0.412439746	0.27346043	0.699764227
120	NA	F	NA	NA	42396	49	NA	NA	1994	1994	NA	1.587264818	1.215947205	0.695907829
126	NA	M	NA	NA	42314	17	NA	NA	1995	1995	NA	1.564988372	0.476093988	0.579862638
126	NA	M	NA	NA	42403	55	NA	NA	1997	1997	NA	1.687948543	0.889754752	0.48198743
127	NA	M	NA	NA	42403	55	NA	NA	1997	1997	NA	1.448347711	1.143501614	0.435017073
127	NA	M	NA	NA	42347	29	NA	NA	1998	1998	NA	1.883814754	0.681524055	0.515235718
132	128	F	NA	NA	42403	55	NA	NA	1999	1999	NA	1.916204918	0.909575203	0.485022666
132	128	F	NA	NA	42346	28	NA	NA	2001	2001	NA	2.022599898	0.809390825	0.607503818
133	NA	F	NA	NA	42403	55	NA	NA	1999	1999	NA	1.616076553	1.506279734	0.516362586
134	2226	F	NA	NA	42403	55	NA	NA	1997	1997	NA	1.057810405	0.522144272	0.213869327
136	115	F	NA	NA	42347	29	NA	NA	1998	1998	NA	0.667495272	0.591605424	0.837664296
153	2346	F	NA	NA	42403	55	NA	NA	1997	1997	NA	0.820989637	0.403782137	0.44814726
153	2346	F	NA	NA	42347	29	NA	NA	1998	1998	NA	0.882723747	0.253335924	0.7057711
153	2346	F	NA	NA	42411	63	NA	NA	2000	2000	NA	1.00530146	0.221332391	0.581434958
154	NA	M	NA	NA	42403	55	NA	NA	1997	1997	NA	0.419582637	0.078439313	0.660406254
155	NA	M	NA	NA	42411	63	NA	NA	2000	2000	NA	0.432525045	1.214323141	0.357232229
492	NA	F	4874	1979	42305	12	13	13	1992	1992	Adults	0.264895322	0.125958232	0.290488316
492	NA	F	5239	1979	42418	68	14	14	1993	1993	Adults	0.578169805	0.182906864	0.328429934
654	502	F	4504	1980	42305	12	12	12	1992	1992	Adults	1.96734765	0.083691062	0.305405248
654	502	F	4869	1980	42418	68	13	13	1993	1993	Adults	1.822368213	0.107852236	0.298809786
824	NA	F	3775	1981	42384	41	10	10	1991	1991	Adults	1.27167396	1.605381714	0.48817068
824	NA	F	4136	1981	42305	12	11	11	1992	1992	Adults	1.263688527	1.284037102	0.32059227
824	NA	F	5599	1981	42304	7	15	15	1996	1996	Adults	1.190531455	1.114697125	0.295072553
832	NA	F	3415	1981	42411	63	9	9	1990	1990	Adults	1.096034424	0.837405458	0.308089707
832	NA	F	3780	1981	42384	41	10	10	1991	1991	Adults	0.901079001	0.591171608	0.379344441
979	NA	F	NA	1982	42384	41	9	9	1991	1991	Adults	2.108165078	1.530825014	0.654595789
981	492	F	NA	1982	42384	41	9	9	1991	1991	Adults	0.736824134	0.811164693	0.800928677
982	NA	F	3766	1982	42305	12	10	10	1992	1992	Adults	1.512043822	1.190428278	0.804768563
982	NA	F	4131	1982	42418	68	11	11	1993	1993	Adults	1.224935864	1.27778707	0.726460487
983	NA	F	3411	1982	42384	41	9	9	1991	1991	Adults	1.055214709	0.723573623	0.26853445
987	NA	F	3761	1982	42305	12	10	10	1992	1992	Adults	1.643872619	0.152997025	0.439255215
1149	NA	F	2670	1983	42411	63	7	7	1990	1990	Adults	1.779729886	0.788122752	0.389207631
1149	NA	F	3035	1983	42384	41	8	8	1991	1991	Adults	2.025810698	0.738976938	0.49475334
1149	NA	F	3397	1983	42304	11	9	9	1992	1992	Adults	1.984469695	0.576961614	0.293241762
1154	649	F	NA	1983	42411	63	7	7	1990	1990	Adults	1.910089087	0.995634147	0.598975142
1154	649	F	NA	1983	42384	41	8	8	1991	1991	Adults	2.027080726	0.767323147	0.883478548
1154	649	F	NA	1983	42305	12	9	9	1992	1992	Adults	2.48594266	0.962483676	0.773106993
1154	649	F	NA	1983	42418	68	10	10	1993	1993	Adults	2.0019424	0.857244491	0.864255202
1154	649	F	NA	1983	42304	7	13	13	1996	1996	Adults	2.316400355	0.757656756	0.531711364
1154	649	F	NA	1983	42403	55	14	14	1997	1997	Adults	2.433115021	0.777356286	0.822431004
1154	649	F	NA	1983	42347	29	15	15	1998	1998	Adults	2.237175127	0.589534489	0.780955275
1156	NA	F	2671	1983	42411	63	7	7	1990	1990	Adults	2.130176913	1.306166069	0.412286298
1156	NA	F	3037	1983	42384	41	8	8	1991	1991	Adults	2.582193506	1.037689108	0.52180477
1156	NA	F	3403	1983	42305	12	9	9	1992	1992	Adults	2.192175284	1.066641519	0.464861518
1156	NA	F	4866	1983	42304	7	13	13	1996	1996	Adults	1.216933703	1.081873361	0.11321545
1157	NA	F	2678	1983	42411	63	7	7	1990	1990	Adults	1.31574688	0.698455842	0.245508363
1157	NA	F	3042	1983	42384	41	8	8	1991	1991	Adults	1.256754544	0.447783936	0.378783472
1159	NA	F	2683	1983	42411	63	7	7	1990	1990	Adults	1.410937359	1.479245599	0.465337913
1160	NA	F	NA	1983	42411	63	7	7	1990	1990	Adults	1.943578848	1.214767308	0.508840868
1160	NA	F	NA	1983	42384	41	8	8	1991	1991	Adults	2.327914327	1.217564934	0.424040695
1166	503	F	3403	1983	42305	12	9	9	1992	1992	Adults	1.44580594	0.645564251	0.345787501
1167	NA	F	3042	1983	42384	41	8	8	1991	1991	Adults	2.277119364	2.136247501	0.804150948
1172	NA	F	3035	1983	42384	41	8	8	1991	1991	Adults	1.951959437	1.834555649	0.488387516
1174	NA	F	3401	1983	42305	12	9	9	1992	1992	Adults	1.690539664	0.807081133	0.463629004
1175	501	F	3043	1983	42384	41	8	8	1991	1991	Adults	1.675783799	1.666393959	0.76843564
1175	501	F	3404	1983	42305	12	9	9	1992	1992	Adults	1.420033166	1.837713221	0.722375565
1177	NA	F	3034	1983	42384	41	8	8	1991	1991	Adults	1.260088451	0.457493012	0.355198208
1183	NA	F	NA	1983	42384	41	8	8	1991	1991	Adults	0.295698516	0.78169017	0.589037582
1185	NA	F	NA	1983	42305	12	9	9	1992	1992	Adults	2.343592462	1.292535694	0.541418455
1186	NA	F	NA	1983	42384	41	8	8	1991	1991	Adults	0.709857324	0.492764365	0.352019273
1186	NA	F	NA	1983	42314	17	12	12	1995	1995	Adults	0.640922632	0.701488711	0.41240523
1302	NA	F	2679	1984	42384	41	7	7	1991	1991	Adults	1.864010373	1.258738187	0.341526133
1302	NA	F	3407	1984	42418	68	9	9	1993	1993	Adults	1.759571391	1.127181248	0.382381861
1302	NA	F	3778	1984	42396	49	10	10	1994	1994	Adults	1.745499634	0.664783489	0.400073721
1311	NA	F	3034	1984	42304	11	8	8	1992	1992	Adults	1.564405931	0.047144275	1.494531611
1311	NA	F	3404	1984	42418	68	9	9	1993	1993	Adults	1.628019791	0.051345775	0.701509938
1311	NA	F	4135	1984	42314	17	11	11	1995	1995	Adults	1.824240334	0.057002454	0.832149767
1311	NA	F	4498	1984	42304	7	12	12	1996	1996	Adults	2.341817663	0.068958094	0.612708519
1319	982	F	2309	1984	42411	63	6	6	1990	1990	Adults	1.689248655	2.003396897	0.580783118
1319	982	F	2675	1984	42384	41	7	7	1991	1991	Adults	1.363861217	1.681106972	0.564170496
1319	982	F	3038	1984	42304	11	8	8	1992	1992	Adults	0.956145915	0.867495787	0.180580462
1319	982	F	3403	1984	42418	68	9	9	1993	1993	Adults	1.197193477	1.767013222	0.551903458
1319	982	F	3774	1984	42396	49	10	10	1994	1994	Adults	1.199111266	1.596224857	0.558194368
1320	NA	F	2296	1984	42411	63	6	6	1990	1990	Adults	1.604247263	1.201521111	0.428279979
1320	NA	F	2664	1984	42384	41	7	7	1991	1991	Adults	1.472346665	1.177622122	0.478154517
1321	976	F	2664	1984	42384	41	7	7	1991	1991	Adults	0.889849926	1.021437379	0.379276698
1321	976	F	3025	1984	42304	11	8	8	1992	1992	Adults	1.165944275	1.281882799	0.307332485
