ID	MOTHER	FATHER
30	NA	2700
29	NA	4601
28	NA	5414
27	NA	4606
26	NA	NA
25	NA	NA
24	NA	NA
78	NA	NA
23	NA	3704
22	NA	4601
21	NA	3018
20	NA	NA
77	NA	NA
19	NA	NA
18	NA	NA
17	4366	NA
16	NA	4601
15	NA	4600
76	NA	4583
14	NA	4599
13	NA	4597
12	NA	NA
11	NA	NA
10	NA	NA
9	NA	NA
8	NA	NA
7	NA	NA
6	NA	NA
75	NA	NA
5	NA	NA
4	NA	NA
3	NA	NA
2	NA	NA
1	NA	NA
74	NA	NA
73	NA	NA
72	NA	NA
82	NA	NA
71	NA	5679
70	NA	4374
69	NA	NA
68	NA	2761
67	4152	139
66	NA	4251
65	NA	4601
64	NA	NA
63	NA	3018
62	NA	NA
61	NA	4209
60	NA	NA
59	NA	NA
58	NA	4599
57	4548	4598
56	NA	NA
55	NA	NA
54	NA	2761
53	NA	139
81	NA	4773
52	NA	NA
51	NA	4599
50	NA	NA
49	7042	4591
48	NA	NA
47	NA	139
80	NA	NA
46	NA	3332
45	NA	NA
44	NA	3364
43	3708	3489
42	NA	NA
41	NA	3018
40	NA	NA
79	NA	4606
39	NA	4602
38	NA	4601
37	NA	4578
36	NA	NA
35	NA	4601
34	7035	NA
33	NA	3704
32	NA	4602
31	NA	NA
83	NA	NA
92	NA	NA
177	NA	NA
1077	NA	NA
9921	8683	7439
9922	8983	8719
9923	8987	NA
9924	9074	10642
9925	9075	NA
9926	7004	5450
9927	7004	5450
9928	9014	9639
9929	9023	6574
9930	9046	7702
1078	NA	NA
9931	8726	7003
9932	7147	9662
9933	6638	8919
9934	6057	8413
9935	6057	9645
9936	8938	10068
9937	9143	8708
9938	8730	7651
9939	6330	8743
9940	6330	8743
1079	NA	NA
9941	9015	NA
9942	6788	7205
9943	9037	7122
9944	8703	6297
9945	6992	6443
9946	6992	7083
9947	6683	NA
9948	5741	6535
9949	5741	6535
9950	5741	6535
1080	NA	NA
9951	8975	7083
9952	9085	NA
9953	8712	6823
9954	9011	9671
9955	6052	6443
9956	5601	10040
9957	8961	6679
9958	9057	7059
9959	9076	10039
9960	9137	8250
1081	NA	NA
9961	8679	6679
9962	7267	8928
9963	6164	NA
9964	6095	NA
9965	5733	NA
9966	7265	NA
9967	8738	8684
9968	8903	NA
9969	7029	NA
9970	7639	6823
1082	NA	NA
9971	7194	6523
9972	7433	6679
9973	6104	NA
9974	8681	NA
9975	9094	NA
9976	8751	8737
9977	7150	8707
9978	6861	8665
9979	4510	6823
9980	4510	6823
1083	NA	NA
9981	6390	6297
9982	6390	8913
9983	8691	7003
9984	8953	NA
9985	6150	9660
9986	8939	7675
9987	9040	10072
9988	8998	NA
9989	NA	NA
9990	NA	7439
1084	NA	NA
9991	NA	8685
9992	NA	8685
9993	6893	8413
9994	6940	NA
9995	8957	6680
9996	7201	6679
9997	8745	6823
9998	8205	6679
1085	NA	NA
9999	7108	NA
10000	NA	NA
10001	NA	NA
10002	NA	NA
10003	NA	NA
10004	NA	NA
10005	NA	NA
10006	NA	NA
10007	NA	NA
10008	NA	NA
1086	NA	NA
10009	NA	NA
10010	NA	NA
10011	NA	NA
10012	NA	NA
10013	NA	NA
10014	NA	NA
10015	NA	NA
10016	NA	NA
10017	NA	NA
10018	NA	NA
178	NA	NA
1087	NA	NA
10019	NA	NA
10020	NA	NA
10021	NA	NA
10022	NA	NA
10023	NA	NA
10024	NA	NA
10025	NA	NA
10026	NA	NA
10027	10032	7677
1088	NA	NA
10028	NA	9176
10029	7008	7309
10030	7023	5082
10031	7647	6443
10032	7029	6679
10033	7025	6760
10034	7432	8724
10035	6113	6750
1089	NA	NA
10036	5649	6823
10037	NA	NA
10038	NA	7301
10039	6675	6679
10040	10029	9671
10041	NA	9667
10042	7642	6523
10043	NA	NA
1090	NA	NA
10044	NA	NA
10045	7006	6911
10046	NA	7165
10047	NA	NA
10048	NA	NA
10049	NA	6838
10050	NA	NA
10051	NA	NA
10052	NA	NA
10053	NA	NA
1091	NA	NA
10054	NA	NA
10055	NA	6838
10056	NA	NA
10057	10946	7675
10058	NA	8921
10059	NA	NA
10060	NA	8922
10061	NA	6523
10062	NA	9673
10063	NA	6680
1092	NA	NA
10064	NA	6549
10065	NA	NA
10066	NA	NA
10067	NA	NA
10068	NA	6509
10069	NA	6659
10070	NA	NA
10071	NA	NA
10072	NA	6760
10073	NA	4577
1093	NA	NA
10074	NA	5430
10075	8999	NA
10076	9688	7122
10077	9698	10073
10078	9710	8684
10079	9751	9776
10080	9753	6911
10081	9774	8926
10082	9801	8933
10083	9823	8741
1094	NA	NA
10084	9833	NA
10085	9676	NA
10086	9692	8913
10087	9716	8250
10088	9736	6679
10089	9787	6443
10090	9832	NA
10091	9841	6680
10092	9999	9100
10093	8304	9044
1095	NA	NA
10094	7154	8997
10095	6648	7205
10096	6373	6679
10097	7057	8933
10098	7058	9766
10099	7143	8933
10100	8659	NA
10101	7134	6998
10102	7134	8647
10103	8667	8931
1096	NA	NA
10104	7406	7122
10105	6791	7061
10106	6541	8662
10107	6624	8413
10108	7507	8452
10109	7067	9697
10110	6583	9775
10111	8652	9044
10112	7265	NA
10113	8669	6679
179	NA	NA
1097	NA	NA
10114	6319	10073
10115	10363	6679
10116	7121	9640
10117	7523	8413
10118	7523	8933
10119	8736	6443
10120	6086	8720
10121	9141	8648
10122	8187	8905
10123	6881	8946
1098	NA	NA
10124	6602	9060
10125	8258	10073
10126	6419	9140
10127	8653	10073
10128	6649	8413
10129	6787	NA
10130	7645	NA
10131	7211	6679
10132	8654	8931
10133	8655	NA
1099	NA	NA
10134	7419	7205
10135	8668	8413
10136	7092	7003
10137	8689	8928
10138	6636	6679
10139	9169	6549
10140	8656	10071
10141	6820	7205
10142	6891	8720
10143	7179	8918
1100	NA	NA
10144	7179	9100
10145	8696	8648
10146	6846	NA
10147	10361	6679
10148	7176	8928
10149	7423	8933
10150	9027	9831
10151	7433	7122
10152	7190	6679
10153	8212	8452
1101	NA	NA
10154	8212	10377
10155	9173	9831
10156	7216	9761
10157	7093	NA
10158	9150	9650
10159	7194	6443
10160	7080	6998
10161	7080	9100
10162	9182	7205
10163	8895	8933
1102	NA	NA
10164	8895	8933
10165	8700	6443
10166	8723	9684
10167	6643	NA
10168	8682	8928
10169	6936	NA
10170	9053	NA
10171	6104	9662
10172	6884	7122
10173	6682	7205
1103	NA	NA
10174	6682	6574
10175	8725	9662
10176	6912	7205
10177	8672	7205
10178	8658	8250
10179	10029	NA
10180	9103	NA
10181	8894	8676
10182	8454	8699
1104	NA	NA
10183	8454	6679
10184	7657	9662
10185	7540	NA
10186	6781	9700
10187	6781	9672
10188	7082	8648
10189	7177	10072
10190	8205	8933
10191	9146	8648
10192	6892	8926
1105	NA	NA
10193	8650	6625
10194	6641	10062
10195	8728	NA
10196	NA	NA
10197	10196	8671
10198	8697	10040
10199	6734	NA
10200	7402	8647
10201	8687	10067
10202	6675	10073
1106	NA	NA
10203	6805	8916
10204	8732	8413
10205	6883	9640
10206	8909	8928
10207	7091	9993
10208	7201	8428
10209	7151	NA
10210	7521	10644
10211	8749	10071
10212	8970	8413
180	NA	NA
1107	NA	NA
10213	8957	8413
10214	6637	6679
10215	6996	8699
10216	7106	6679
10217	8745	NA
10218	7206	6680
10219	9148	10642
10220	8418	NA
10221	6899	8928
10222	6899	10644
1108	NA	NA
10223	7164	6443
10224	8950	8928
10225	7064	6549
10226	7006	6443
10227	7522	8413
10228	6400	6679
10229	8742	9834
10230	6732	9790
10231	6727	6549
10232	5498	6679
1109	NA	NA
10233	7489	9640
10234	8750	7122
10235	6854	10644
10236	9009	8933
10237	8678	7205
10238	9168	7205
10239	7009	NA
10240	10033	NA
10241	10362	8929
10242	10362	10377
1110	NA	NA
10243	6551	6443
10244	6923	8647
10245	6923	8698
10246	8902	6679
10247	6999	8413
10248	8273	6680
10249	9145	9790
10250	6684	9672
10251	8450	10040
10252	8450	10644
1111	NA	NA
10253	6621	7122
10254	6870	6443
10255	7155	6998
10256	6902	7122
10257	9008	6998
10258	7112	7205
10259	8963	6549
10260	7534	8720
10261	6814	10040
10262	7647	7003
1112	NA	NA
10263	NA	NA
10264	8704	7493
10265	6933	6443
10266	7642	NA
10267	6916	7122
10268	6640	9172
10269	9674	NA
10270	9998	6574
10271	9695	9640
10272	8738	8946
1113	NA	NA
10273	9758	9662
10274	9181	7205
10275	NA	6680
10276	9099	8413
10277	8964	9819
10278	6733	6443
10279	9017	9650
10280	9767	8946
10281	6846	NA
10282	9724	6574
1114	NA	NA
10283	5509	10073
10284	6828	7061
10285	6136	7122
10286	6136	6443
10287	9059	10073
10288	9087	10074
10289	9817	9044
10290	5439	6680
10291	10027	10037
10292	9713	8916
1115	NA	NA
10293	9681	7061
10294	9020	8918
10295	9755	10045
10296	8694	6679
10297	8663	7122
10298	9814	6574
10299	NA	10074
10300	10680	NA
10301	9709	9002
10302	9714	9831
1116	NA	NA
10303	7016	10051
10304	7016	NA
10305	10032	10069
10306	7155	6443
10307	5494	10644
10308	9727	8648
10309	7008	8250
10310	9715	NA
10311	NA	10072
10312	NA	NA
181	NA	NA
1117	NA	NA
10313	NA	NA
10314	5528	NA
10315	5528	9044
10316	9760	9836
10317	9765	7003
10318	9749	10644
10319	10948	NA
10320	7112	7205
10321	9142	10059
10322	10636	8647
1118	NA	NA
10323	9147	7061
10324	9691	8905
10325	9972	8673
10326	7405	8928
10327	9826	7003
10328	9167	8720
10329	10028	10073
10330	7181	7165
10331	7181	8698
10332	6556	10650
1119	NA	NA
10333	7019	7493
10334	7019	NA
10335	7022	NA
10336	6563	10068
10337	6566	8931
10338	6054	7205
10339	5649	9672
10340	5604	7122
10341	7030	6625
10342	10030	8250
1120	NA	NA
10343	9835	10644
10344	9812	6890
10345	6921	7205
10346	8746	NA
10347	10031	NA
10348	7639	NA
10349	6371	8647
10350	8718	7205
10351	6944	7122
1121	NA	NA
10352	6897	7651
10353	6940	10070
10354	6313	7122
10355	8994	7651
10356	8721	7003
10357	10360	7122
10358	7639	8918
10359	6646	8648
10360	6861	6376
10361	6088	7698
1122	NA	NA
10362	5493	4388
10363	5741	6297
10364	NA	NA
10365	NA	NA
10366	NA	6680
10367	NA	10041
10368	NA	9671
10369	8453	8720
10370	NA	9662
10371	NA	7205
1123	NA	NA
10372	NA	8662
10373	NA	NA
10374	NA	10668
10375	NA	NA
10376	NA	7695
10377	6057	6679
10378	NA	NA
10379	NA	NA
10380	NA	NA
10381	NA	NA
1124	NA	NA
10382	9780	8918
10383	6883	10644
10384	6999	NA
10385	6641	8250
10386	6086	7122
10387	10103	NA
10388	10185	8913
10389	6649	8929
10390	6649	10378
10391	6732	9171
1125	NA	NA
10392	6400	NA
10393	6624	7205
10394	6104	7205
10395	10201	NA
10396	9714	9650
10397	8654	8720
10398	7216	9044
10399	7216	9044
10400	6787	9669
10401	7164	8926
1126	NA	NA
10402	6902	8250
10403	6646	9171
10404	10254	8997
10405	7194	8648
10406	7194	7003
10407	6933	6574
10408	10033	NA
10409	6373	NA
10410	10184	NA
10411	7657	9669
182	NA	NA
1127	NA	NA
10412	7151	10037
10413	6734	NA
10414	10362	NA
10415	5528	9640
10416	10358	6911
10417	9712	10158
10418	10196	NA
10419	10196	NA
10420	9724	10040
10421	7057	6574
1128	NA	NA
10422	6583	8648
10423	6870	9819
10424	6870	9996
10425	6636	10149
10426	8895	8933
10427	7154	8250
10428	9181	8250
10429	6648	NA
10430	8672	9640
10431	8718	7205
1129	NA	NA
10432	9681	9708
10433	9027	10040
10434	8749	8933
10435	9734	10661
10436	8667	9174
10437	8659	10037
10438	6319	NA
10439	9173	NA
10440	9141	7122
10441	6643	NA
1130	NA	NA
10442	8652	8720
10443	10363	10037
10444	8697	7205
10445	7190	10063
10446	8668	9073
10447	8669	8931
10448	7521	8933
10449	8678	10377
10450	7009	8933
10451	7009	NA
1131	NA	NA
10452	8656	10661
10453	6733	7003
10454	8187	8933
10455	8689	7685
10456	8304	10377
